                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4628,                 4.6241,                 2.5776,                      0,                      0,                      0,                      0,                 2.7726,                 4.4744,                 2.3556,               6.25e-06,               6.25e-06,               6.25e-06
                      2,                  3.319,                 4.6257,                 2.4213,                      0,                      0,                      0,                      0,                 2.7886,                 4.4659,                 2.3436,             1.7822e-05,             1.7822e-05,             1.7822e-05
                      3,                 3.3938,                 4.6124,                 2.5239,                      0,                      0,                      0,                      0,                 2.7473,                 4.4552,                 2.3072,             2.8156e-05,             2.8156e-05,             2.8156e-05
                      4,                 3.2581,                 4.5868,                 2.4503,                 0.0013,                0.02273,                0.00086,                0.00026,                 2.6088,                 4.4268,                 2.2074,             3.7253e-05,             3.7253e-05,             3.7253e-05
                      5,                  2.892,                 4.5542,                 2.0987,                0.00885,                0.06818,                0.01894,                0.00276,                 2.5095,                 4.4045,                 2.1125,             4.5113e-05,             4.5113e-05,             4.5113e-05
                      6,                 2.8212,                 4.5361,                 2.1373,                0.01164,                0.09091,                0.01862,                0.00359,                 2.3692,                 4.3884,                 2.0036,             5.1734e-05,             5.1734e-05,             5.1734e-05
                      7,                  2.472,                 4.5142,                 1.8961,                0.01312,                0.11364,                0.02422,                0.00855,                 2.3165,                  4.378,                 1.8974,             5.7119e-05,             5.7119e-05,             5.7119e-05
                      8,                 2.1863,                 4.4123,                 1.7611,                 0.0138,                0.19545,                0.04377,                 0.0129,                 2.3104,                 4.3196,                  1.794,             6.1266e-05,             6.1266e-05,             6.1266e-05
                      9,                 2.0807,                 4.3474,                 1.6785,                0.01367,                0.21818,                 0.0468,                0.01469,                 2.2485,                 4.2912,                 1.7333,             6.4175e-05,             6.4175e-05,             6.4175e-05
                     10,                 2.0663,                 4.3631,                 1.6643,                0.01321,                0.26591,                0.06542,                 0.0212,                  2.165,                 4.2527,                 1.6315,             6.5847e-05,             6.5847e-05,             6.5847e-05
                     11,                 1.8682,                 4.0066,                 1.5241,                 0.0129,                0.29318,                 0.0684,                0.01942,                 2.0713,                 4.2211,                 1.5666,             6.6281e-05,             6.6281e-05,             6.6281e-05
                     12,                 1.7416,                  3.972,                 1.4761,                0.01267,                0.28182,                0.07154,                0.02046,                 1.9456,                 4.1898,                 1.4781,             6.5478e-05,             6.5478e-05,             6.5478e-05
                     13,                 1.7445,                 3.8947,                  1.443,                0.01381,                0.29091,                0.06091,                0.02021,                 1.8463,                  4.159,                 1.4251,             6.3438e-05,             6.3438e-05,             6.3438e-05
                     14,                 1.7778,                 3.7858,                 1.4641,                0.01518,                0.31818,                0.05357,                0.01975,                 1.7515,                 4.1254,                 1.3801,             6.0159e-05,             6.0159e-05,             6.0159e-05
                     15,                 1.7051,                 3.7824,                 1.4199,                0.01778,                0.36364,                0.05021,                 0.0203,                 1.7038,                  4.101,                 1.3554,             5.5644e-05,             5.5644e-05,             5.5644e-05
                     16,                  1.666,                 3.7098,                 1.3765,                0.01922,                0.37273,                0.05233,                0.01975,                 1.6819,                  4.069,                 1.3471,             4.9891e-05,             4.9891e-05,             4.9891e-05
                     17,                 1.6809,                 3.6069,                 1.4129,                0.02019,                  0.375,                0.05546,                 0.0213,                 1.6491,                 4.0449,                 1.3281,               4.29e-05,               4.29e-05,               4.29e-05
                     18,                  1.685,                 3.5945,                 1.4023,                0.02095,                0.37727,                0.05527,                0.02124,                 1.6221,                 4.0249,                 1.3104,             3.4672e-05,             3.4672e-05,             3.4672e-05
                     19,                 1.6771,                 3.5096,                 1.4017,                0.02168,                0.37955,                0.06185,                 0.0246,                 1.6023,                 3.9975,                  1.293,             2.5206e-05,             2.5206e-05,             2.5206e-05
                     20,                 1.7006,                 3.5097,                 1.3668,                0.02193,                0.37955,                0.05886,                0.02591,                 1.5673,                 3.9788,                 1.2752,             1.4503e-05,             1.4503e-05,             1.4503e-05
