                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4628,                 4.6241,                 2.5776,                      0,                      0,                      0,                      0,                 2.7726,                 4.4744,                 2.3556,               6.25e-06,               6.25e-06,               6.25e-06
                      2,                  3.319,                 4.6257,                 2.4213,                      0,                      0,                      0,                      0,                 2.7886,                 4.4659,                 2.3436,             1.8564e-05,             1.8564e-05,             1.8564e-05
                      3,                 3.3938,                 4.6124,                 2.5239,                      0,                      0,                      0,                      0,                 2.7429,                 4.4572,                 2.3011,             3.0631e-05,             3.0631e-05,             3.0631e-05
                      4,                 3.2415,                 4.5859,                 2.4365,                0.00126,                0.02273,                0.00082,                0.00025,                 2.5878,                 4.4283,                    2.2,             4.2451e-05,             4.2451e-05,             4.2451e-05
                      5,                 2.8564,                 4.5485,                 2.0722,                0.00887,                0.06818,                0.03017,                 0.0039,                 2.4621,                 4.4155,                 2.1044,             5.4022e-05,             5.4022e-05,             5.4022e-05
                      6,                 2.7427,                 4.5267,                 2.0899,                0.00996,                0.09091,                 0.0294,                0.00833,                 2.3434,                  4.411,                 1.9662,             6.5347e-05,             6.5347e-05,             6.5347e-05
                      7,                 2.3561,                  4.476,                 1.8231,                0.01134,                   0.15,                0.05137,                 0.0136,                 2.3244,                 4.3391,                 1.8212,             7.6424e-05,             7.6424e-05,             7.6424e-05
                      8,                 2.0815,                 4.3569,                 1.6958,                0.01283,                0.26364,                0.07027,                0.02663,                 2.2219,                  4.255,                 1.6511,             8.7253e-05,             8.7253e-05,             8.7253e-05
                      9,                 1.9382,                 4.2419,                 1.5989,                0.01192,                0.28864,                0.06331,                0.02315,                  2.123,                 4.2132,                 1.5687,             9.7835e-05,             9.7835e-05,             9.7835e-05
                     10,                   1.94,                  4.249,                 1.5829,                0.01179,                0.25909,                0.05102,                0.01709,                 1.9683,                  4.157,                 1.4662,             0.00010817,             0.00010817,             0.00010817
                     11,                 1.8088,                 4.0264,                 1.5058,                0.01349,                0.25909,                0.04451,                0.01506,                 1.7866,                 4.1195,                  1.375,             0.00011826,             0.00011826,             0.00011826
                     12,                 1.7883,                  4.002,                 1.4965,                0.01877,                0.34091,                0.04368,                0.01881,                 1.7324,                 4.0441,                 1.3264,              0.0001281,              0.0001281,              0.0001281
                     13,                  1.874,                  3.934,                 1.4766,                0.02037,                0.34545,                0.04741,                0.02217,                 1.6385,                 3.9841,                 1.2756,             0.00013769,             0.00013769,             0.00013769
                     14,                 1.7134,                 3.6296,                 1.4256,                 0.0219,                   0.35,                0.05293,                0.02519,                 1.5814,                 3.9087,                 1.2388,             0.00014703,             0.00014703,             0.00014703
                     15,                 1.6925,                 3.4818,                 1.3827,                0.02186,                0.33409,                0.05791,                0.02899,                 1.5433,                 3.8253,                 1.2151,             0.00015613,             0.00015613,             0.00015613
                     16,                 1.7776,                 3.5586,                 1.4148,                0.02495,                0.34545,                 0.0684,                 0.0321,                 1.5725,                 3.7041,                 1.2063,             0.00016498,             0.00016498,             0.00016498
                     17,                 1.7321,                 3.4512,                  1.366,                 0.0267,                0.37273,                0.07993,                0.03736,                 1.6333,                 3.5671,                 1.2134,             0.00017358,             0.00017358,             0.00017358
                     18,                 1.7453,                 3.1605,                 1.3763,                0.02867,                    0.4,                0.08686,                0.04124,                 1.6591,                 3.4066,                 1.2125,             0.00018193,             0.00018193,             0.00018193
                     19,                   1.65,                 3.0349,                 1.3113,                0.03454,                0.49318,                0.09854,                0.04462,                 1.6542,                  3.296,                 1.2064,             0.00019004,             0.00019004,             0.00019004
                     20,                 1.6451,                 3.0295,                 1.2844,                0.03435,                0.49318,                0.10054,                0.04992,                  1.599,                 3.2483,                 1.1947,              0.0001979,              0.0001979,              0.0001979
                     21,                 1.6354,                 2.9834,                 1.3236,                0.03305,                0.49318,                0.10063,                0.05126,                 1.5863,                 3.2062,                 1.1896,             0.00020551,             0.00020551,             0.00020551
                     22,                 1.6069,                 2.6713,                 1.2919,                0.03292,                0.49318,                 0.1022,                0.05443,                 1.5946,                 3.2351,                 1.2095,             0.00021288,             0.00021288,             0.00021288
                     23,                 1.6249,                 2.7413,                 1.2864,                0.03487,                0.53636,                0.11566,                0.05758,                  1.591,                 3.2478,                 1.2269,             0.00021999,             0.00021999,             0.00021999
